Brand,Line,Recipie,Brand Name/Line /Recipe and Recipe,Life Stage,Store,Cost per cup,Cups Required 44lb less active,First Ingredients
,,,Large and Giant Breed Adult,Adult LB,Anipet,$0.52,,"Chicken Meal, Ground Brown Rice, Ground White Rice, Ground Yellow Corn, Chicken Fat (Preserved with Natural Mixed Tocopherols), Dried Beet Pulp, Pork Meal, Brewers Dried Yeast, Anchovy & Sardine Meal,"
,,,Small Breed Chicken and Pork,Adult SB,Anipet,$0.31,1,
,,,Eagle pack power adult dry dog food,Adult  ,Anipet,$0.61,2.5,"Chicken Meal, Pork Meal, Ground Brown Rice, Peas, Chicken Fat (preserved with Mixed Tocopherols), Dehulled Barley, Tomato Pomace, Brewers Dried Yeast, Flaxseed, Potassium Chloride, Vitamins [Vitamin E Supplement, Niacin, Vitamin A"
,,,Reduced Fat Chicken & Pork,Adult  ,Anitpet,$0.56,2.75,"Pork Meal, Dehulled Barley, Peas, Ground Brown Rice, Oatmeal, Rice, Tomato Pomace, Chicken Meal, Turkey Meal, Flaxseed, Chicken Fat (preserved with Mixed Tocopherols), Brewers Dried Yeast,"
,,,Eukanuba,,,,,
,,,Adult Small Bites,Adult SB,,$0.81,,
,,,Senior Large Breed,Senior LB,,$0.44,,
,,,Farmina,,,,,
,,,Quinoa,,,,,
,,,N&D Quinoa Digestion Lamb,Adult  ,,$1.37,1.75,"lamb, pea starch, dehydrated lamb, chicken fat, dried whole eggs, quinoa seed, dehydrated herring, herring oil, dried fennel, dried mint, dried artichoke, inulin, fructooligosaccharide, yeast extract, calcium carbonate, psyllium seed husk, potassium chloride, salt, glucosamine hydrochloride, chondroitin sulfate, vitamin A supplement, vitamin D3 supplement, vitamin E"
,,,N&D Quinoa Skin & Coat Herring,Adult  ,,$1.41,1.75,"herring, pea starch, herring oil, quinoa seed, linseed, dried coconut, turmeric, inulin, fructooligosaccharide, yeast extract, calcium carbonate, dicalcium phosphate, psyllium seed husk, potassium chloride, salt, brewers dried yeast, glucosamine hydrochloride, chondroitin sulfate, vitamin A supplement,"
,,,N&D Quinoa Skin & Coat Quail,Adult  ,,$1.37,1.75,"Fresh quail (18%), dehydrated quail (18%), pea starch, fish oil (from herring), quinoa seed (8%), flaxseed, dried coconut (2.5%), turmeric (2.5%), inulin, fructooligosaccharides,"
,,,N&D Quinoa Skin & Coat Venison,Adult  ,,$1.37,1.75,"Fresh boneless venison (18%), dehydrated venison (18%), pea starch, fish oil (from herring), quinoa seed (8%), flaxseed, dried coconut (2.5%), turmeric (2.5%), inulin,"
,,,n& D Skin & Coat Duck,Adult  ,,$1.37,,"boneless duck, dehydrated duck, pea starch, herring oil, quinoa seed, linseed, dried coconut, turmeric, inulin, fructooligosaccharide, yeast extract, calcium carbonate, dicalcium phosphate, psyllium seed husk, potassium chloride, salt, brewers dried yeast, glucosamine hydrochloride, chondroitin sulfate, vitamin A supplement, vitamin D3"
,,,N & D Skin & Coat Weight Management Formula,Adult  ,,$1.30,,"lamb, dehydrated lamb, pea starch, pea fiber, quinoa seed, chicken fat, linseed, dehydrated herring, herring oil, dried broccoli, dried asparagus, dicalcium phosphate, suncured alfalfa meal, psyllium seed husk, potassium chloride, calcium carbonate, salt, glucosamine hydrochloride, chondroitin sulfate, vitamin A supplement, "
,,,Prime,,,,,
,,,N&D Prime Chicken & Pomegranate Puppy Mini,Puppy SB,,$0.45,,"boneless chicken, dehydrated chicken, sweet potatoes, chicken fat, dried whole eggs, herring, dehydrated herring, herring oil, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried pomegranate, dried"
,,,N&D Prime Chicken & Pomegranate Puppy Medium & Maxi,Puppy,,$0.00,,"boneless chicken, dehydrated chicken, sweet potatoes, chicken fat, dried whole eggs, herring, dehydrated herring, herring oil, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried pomegranate, dried"
,,,N&D Prime Chicken & Pomegranate Adult Med,Adult  ,,$0.83,,"boneless chicken, dehydrated chicken, sweet potatoes, chicken fat, dried whole eggs, herring, dehydrated herring, herring oil, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried pomegranate, dried"
,,,N&D Prime Chicken & Pomegranate Adult Mini,Adult SB,,$1.44,,"boneless chicken, dehydrated chicken, sweet potatoes, chicken fat, dried whole eggs, herring, dehydrated herring, herring oil, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried pomegranate, dried"
,,,N&D Prime Boar and Apple Adult Med,Adult  ,,$0.85,,"wild boar, dehydrated wild boar, sweet potatoes, boneless chicken, dehydrated chicken, chicken fat, dried whole eggs, herring, dehydrated herring, herring oil, "
,,,N&D Prime Lamb &Blueberry Adult Med & Maxi,Adult  ,,,,"lamb, dehydrated lamb, sweet potatoes, dried whole eggs, herring, dehydrated herring, chicken fat, herring oil, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried blueberry, dried apple, dried pomegranate, dried sweet orange, "
,,,n& D Prime Boar & Apple Adult Mini,Adult SB,,$1.02,,"wild boar, dehydrated wild boar, sweet potatoes, boneless chicken, dehydrated chicken, chicken fat, dried whole eggs, herring, dehydrated herring, herring oil, "
,,,N & D Prime Lamb & Blueberry Adult Mini,Adult SB,,$1.02,,"lamb, dehydrated lamb, sweet potatoes, dried whole eggs, herring, dehydrated herring, chicken fat, herring oil, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried blueberry, dried apple, dried pomegranate, dried sweet orange, "
,,,N & D Prime Lamb & Blueberry Adult Medium & Maxi,Adult  ,,,,"lamb, dehydrated lamb, sweet potatoes, dried whole eggs, herring, dehydrated herring, chicken fat, herring oil, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried blueberry, dried"
,,,Ocean,,,,,
,,,N & D Ocean Herring & Orange Adult Mini,Adult SB,,$1.08,,"herring, dehydrated herring, sweet potatoes, herring oil, dried whole eggs, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract , dried sweet orange, dried pomegranate, dried apple, dried spinach, "
,,,N&D Ocean Herring & Orange Adult Med & Maxi,Adult  ,,$0.90,,"herring, dehydrated herring, sweet potatoes, herring oil, dried whole eggs, pea fiber, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract , dried sweet orange, dried pomegranate, dried apple, dried spinach, "
,,,"N & D Ocean Cod, Pumpkin and Orange Adult Mini",Adult SB,,$1.00,,"Fresh codfish (25%), dehydrated codfish (25%), pea starch, fish oil (from herring), dried pumpkin (5%), fiber vegetable of peas, dried carrots, dried alfalfa, inulin, fructooligosaccharides, yeast extract (source of mannanoligosaccharides),"
,,,"N&D Ocean Cod, Pumpkin & Orange Adult Med & Maxi",Adult  ,,$0.83,,"Fresh codfish (25%), dehydrated codfish (25%), pea starch, fish oil (from herring), dried pumpkin (5%), fiber vegetable of peas, dried carrots, dried alfalfa, inulin, fructooligosaccharides, yeast extract (source of mannanoligosaccharides),"
,,,"N & D Ocean Cod, Spelt, Oats & Orange Adult Mini",Adult SB,,$1.33,,"Cod, dehydrated cod, herring oil, whole spelt, whole oats, dried beet pulp, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried sweet orange, dried apple, dried pomegranate, dried spinach, psyllium seed husk,"
,,,"N&D Ocean Cod, Spelt, Oats & Orange Adult Med & Maxi",Adult  ,,$0.80,,"Cod, dehydrated cod, herring oil, whole spelt, whole oats, dried beet pulp, dried carrot, suncured alfalfa meal, inulin, fructooligosaccharide, yeast extract, dried sweet orange, dried apple, dried pomegranate, dried spinach, psyllium seed husk,"
,,,Pumpkin,,,,,
,,,N&D Pumpkin Lamb & Blueberry mini,Adult SB,,$0.88,,"Fresh grass fed Lamb (22%), dehydrated lamb meat (20%), pea starch (20%), chicken fat, dehydrated pumpkin (5%), dehydrated whole eggs, fresh herring, dehydrated herring, herring oil, fiber vegetable of peas, dried carrots, sun-cured"
,,,N & D Pumpkin Lamb & Blueberry Puppy Mini,Puppy SB,,,,
,,,N&D Pumpkin Lamb & Blueberry Puppy Med & Maxi,Puppy,,$0.75,,"Fresh boneless lamb (22%), dehydrated lamb meat (20%), pea starch (20%), chicken fat, dehydrated pumpkin (5%), dehydrated whole eggs, fresh herring, dehydrated herring, fish oil, pea vegetable fibre, dried carrots, dried alfalfa, inulin, fructooligosaccharides,"
,,,N & D Pumpkin Chicken & Promegranate Adult Mini,Adult SB,,$0.79,,"boneless chicken, dehydrated chicken, pea starch, chicken fat, dried pumpkin, dried whole eggs, herring, dehydrated herring, herring oil, pea fiber, dried carrot,"
,,,N&D Pumpkin Chicken & Pomegranate Adult Med & Maxi,Adult  ,,$0.74,1.5,"boneless chicken, dehydrated chicken, pea starch, chicken fat, dried pumpkin, dried whole eggs, herring, dehydrated herring, herring oil, pea fiber, dried carrot, suncured alfalfa meal,"
,,,N & D Pumpkin Lamb & Blueberry Adult Mini,Adult SB,,$0.88,,"Fresh grass fed Lamb (22%), dehydrated lamb meat (20%), pea starch (20%), chicken fat, dehydrated pumpkin (5%), dehydrated whole eggs, fresh herring, dehydrated herring, herring oil, fiber vegetable of peas, dried carrots, sun-cured"
,,,N&D Pumpkin Lamb & Blueberry Adult Med & Maxi,Adult  ,,$0.75,,"Fresh grass fed Lamb (22%), dehydrated lamb meat (20%), pea starch (20%), chicken fat, dehydrated pumpkin (5%), dehydrated whole eggs, fresh herring, dehydrated herring, herring oil, fiber vegetable of peas, dried carrots, sun-cured"
,,,N & D Pumpkin Boar & Apple Adult Mini,Adult SB,,$0.94,,"Wild boar, dehydrated wild boar, pea starch, chicken fat, dried pumpkin, dried whole eggs, herring oil, pea fiber,"
,,,N&D Pumpkin Boar & Apple Adult Med & Maxi,Adult  ,,$0.79,,"Wild boar, dehydrated wild boar, pea starch, chicken fat, dried pumpkin, dried whole eggs, herring oil, pea fiber,"
,,,Ancestral Grains,,,,,
,,,N&D Ancestral Grain Chicken & Pomegranate Puppy Mini,Puppy SB,,$1.30,,"boneless chicken, dehydrated chicken, whole spelt, whole oats, chicken fat, dried whole eggs, herring, dehydrated herring, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract,"
,,,N&D Ancestral Grain Chicken & Pomegranate Puppy Med,Puppy,,$0.81,,"boneless chicken, dehydrated chicken, whole spelt, whole oats, chicken fat, dried whole eggs, herring, dehydrated herring, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract,"
,,,N & D Ancestral Grain chicken & Pomegranate Adult Mini,Adult SB,,$1.16,,"boneless chicken, dehydrated chicken, whole spelt, whole oats, chicken fat, dried whole eggs, herring, dehydrated herring, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract,"
,,,N & D Ancestral Grain chicken & Pomegranate Adult Med Maxi,Adult  ,,$0.67,,"boneless chicken, dehydrated chicken, whole spelt, whole oats, chicken fat, dried whole eggs, herring, dehydrated herring, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract,"
,,,N & D Ancestral Grain Chicken & Pomegranate Light Mini,Adult SB,,,,"boneless chicken, dehydrated chicken, whole spelt, whole oats, chicken fat, dried whole eggs, herring, dehydrated herring, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract,"
,,,N & D Ancestral Grain Chicken & Pomegranate Light Med Maxi,Adult  ,,,,"boneless chicken, dehydrated chicken, whole spelt, whole oats, chicken fat, dried whole eggs, herring, dehydrated herring, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract,"
,,,N & D Ancestral Grain Chicken & Pomegranate Senior Mini,Senior SB,,,,"boneless chicken, dehydrated chicken, whole spelt, whole oats, chicken fat, dried whole eggs, herring, dehydrated herring, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract,"
,,,N & D Ancestral Grain Chicken & Pomegranate Senior Med maxi,Senior,,,,"boneless chicken, dehydrated chicken, whole spelt, whole oats, chicken fat, dried whole eggs, herring, dehydrated herring, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract,"
,,,N&D Ancestral Grain Lamb & Blueberry Puppy Mini,Puppy SB,,$1.34,,"lamb, dehydrated lamb, whole spelt, whole oats, chicken fat, herring, dehydrated herring, dried whole eggs, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract, dried blueberry, dried spinach, psyllium seed husk, dried apple,"
,,,N & D Ancestral Grain Lamb & Blueberry Puppy Med,Puppy,,,,"lamb, dehydrated lamb, whole spelt, whole oats, chicken fat, herring, dehydrated herring, dried whole eggs, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract, dried blueberry, dried spinach, psyllium seed husk, dried apple,"
,,,N & D Ancestral Grain Lamb & Blueberry Adult Mini,Adult SB,,$1.28,,"lamb, dehydrated lamb, whole spelt, whole oats, chicken fat, herring, dehydrated herring, dried whole eggs, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract, dried blueberry, dried spinach, psyllium seed husk, dried apple,"
,,,N&D Ancestral Grain Lamb & Blueberry Adult Med,Adult  ,,$0.77,,"lamb, dehydrated lamb, whole spelt, whole oats, chicken fat, herring, dehydrated herring, dried whole eggs, dried beet pulp, herring oil, dried carrot, suncured alfalfa meal, chicken cartilage (source of glucosamine hydrochloride and chondroitin sulfate), inulin, fructooligosaccharide, yeast extract, dried blueberry, dried spinach, psyllium seed husk, dried apple,"
,,,First Mate,,,,,
,,,Pacific Ocean Fish Meal – Original Formula,Adult  ,Homesalive,$0.95,1.5,Ocean Fish Meal  Burbank Potato  Norkotah Potato  Tomato Pomace  Chicken Fat  (Mixed Tocopherols) Dicalcium Phosphate  Choline Chloride  Calcium Propionate Minerals  (Zinc Proteinate  Iron Proteinate  Manganese Proteinate  Copper Proteinate  Iodine  Cobalt Carbonate  Selenium Yeast) Vitamins  (Vitamin E Supplement  Riboflavin  Niacin  D-pantothenic Acid  Thiamine hydrochloride  Vitamin 
,,,Australian Lamb Meal Formula,Adult  ,Homesalive,$0.93,1.4,Lamb Meal  Burbank Potato  Norkotah Potato  Chicken Fat (Mixed Tocopherols)  Tomato Pomace  Potassium Chloride  DL–Methionine  Choline Chloride  Calcium Propionate Taurine  Blueberries  Raspberries  Cranberries  
,,,Australian Lamb Meal Formula Small Bites,Adult SB,Homesalive,$1.78,,
,,,Pacific Ocean Fish Meal Endurance – Puppy Formula,Puppy,Homesalive,$0.95,1.75,
,,,Pacific Ocean Fish Meal – Large Breed Formula,Adult LB,Homesalive,$0.95,,
,,,Pacific Ocean Fish Meal – Weight Control/Senior  Formula,Adult  ,Homealive,$0.95,,
,,,Australian Lamb Meal Formula Small Bites,Adult SB,Homesalive,$1.78,,
,,,Chicken Meal with Blueberries Formula Small Bites,Adult SB,Homesalive,$0.90,0.33,
,,,Chicken Meal with Blueberries Formula,Adult  ,Homesalive,$0.95,1.5,
,,,Pacific Ocean Fish Meal – Weight Control Formula,Adult  ,Homesalive,$0.95,,
,,,KASIKS – Free Run Chicken Meal Formula,Adult  ,Homesalive,$0.64,,
,,,KASIKS – Free Range Lamb Meal Formula,Adult  ,Homesalive,$0.82,,
,,,KASIKS – Wild Pacific Ocean Fish Meal Formula,Adult  ,Homesalive,$0.79,,
,,,Classic Formulas – High Performance,Adult  ,,$0.47,1.5,
,,,Cage Free Chicken Meal & Oats Formula,Adult  ,Homesalive,$0.62,1.5,
,,,Free Range Lamb & Oats Formula,Adult  ,Homesalive,$0.63,1.5,
,,,Wild Pacific Caught Fish & Oats Formula,Adult  ,Homesalive,$0.62,1.5,
,,,FROMM,,,,,
,,,Classics,,,,,
,,,Adult Classic Dry,Adult  ,,$0.41,,"Chicken, Chicken Meal, Brown Rice, Pearled Barley, Oat Groats, White Rice, Chicken Fat, Beet Pulp, Menhaden Fish Meal, Dried Egg Product,"
